id,smiles,inchikey
Z1379390999,COc1ncnc(N(C)C)c1NC(=O)c1cnn(-c2ccccc2F)c1C,QAKMELCEXCZFBW-UHFFFAOYSA-N
Z460990036,CCN(C(=O)c1csc(-c2cnn(C)c2)n1)c1ccccc1C,VQIDIMMFDRWFFJ-UHFFFAOYSA-N
Z284650430,COC(=O)c1cc(NC(=O)c2sc(-c3ccccn3)nc2C)c(F)cc1F,HXQIHYLYOJMSDW-UHFFFAOYSA-N
Z1239553056,CCn1nnnc1-c1cccc(NC(=O)c2ccc(F)c(F)c2)c1,SFXADHRRPWCZMI-UHFFFAOYSA-N
Z1263086282,Cc1cccc(NC(=O)C(C)N2CCN(c3ncnc4ccsc34)CC2)c1C,ZEHYYPXBWVSGJZ-UHFFFAOYSA-N
Z1391629166,COc1ccc(F)c(NC(=O)c2nc(C)n(-c3c(Cl)cccc3Cl)n2)c1,KFZIJLMWCGJOJK-UHFFFAOYSA-N
Z1501668528,Cc1n[nH]c2ncc(NC(=O)c3ccc(CCC(F)(F)F)cc3)cc12,MPZXEQREQZNHPQ-UHFFFAOYSA-N
Z1262340497,Cc1nn(-c2ccccc2)c(C)c1NC(=O)c1ccc2c(c1)NC(=O)CCN2C,UPUKUIHFLSSVPD-UHFFFAOYSA-N
Z1458946851,COc1ccc(-n2ccc(C(=O)Nc3ncc(Br)cc3C)n2)cc1,FZTIDFLBKZVZBM-UHFFFAOYSA-N
Z1564917771,Cc1ccc(-n2nnc(C(=O)Nc3cc(C)cc4cccnc34)c2C)cc1,AMNTXYWIKRQMBA-UHFFFAOYSA-N
Z1533641400,NC(=O)c1n[nH]c2ccc(NC(=O)c3cccc(OC4CCCCC4)c3)cc12,UOXTUYJREVGMRR-UHFFFAOYSA-N
Z1311485392,Cc1nc(-c2ccccc2)oc1C(=O)N1CCOc2cc(F)ccc21,LUMXVEASFYMRMI-UHFFFAOYSA-N
Z1460664568,COc1ccc(C)cc1NC(=O)c1cncc(-c2ccc3c(c2)CCO3)c1,YPLWDEBLHDVHDJ-UHFFFAOYSA-N
Z1391716033,COc1ccc(F)c(NC(=O)c2ccn(-c3ccccc3Cl)n2)c1,RYBFAZKEKSXXDC-UHFFFAOYSA-N
Z298879168,O=C(Nc1cccc2c1C(=O)NC2)c1ccc(-c2ccc(F)cc2)s1,JMXYUTDMCONEFJ-UHFFFAOYSA-N
Z1252473565,Cc1ccc(OCC(=O)Nc2c(C)cc(C)cc2C)nc1,KKSAROPPOAUUNX-UHFFFAOYSA-N
